Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Закусило,Мирослав,Назарович,Чоловік,1966-11-12,Акушер,місто Кадіївка,"проспект Зелена гірка, буд. 652, Нова Одеса, 68960",007 654-75-60,boryslav36@example.net
Дараган,Юстина,Анатоліївна,Жінка,1988-04-16,Паблік рилейшнз,село Андрушівка,"узвіз Східчастий 3-й, буд. 623 кв. 558, Жданівка, 16411",+380 99 112-35-12,zivanenko@example.org
Лукаш,Демид,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1948-08-09,Правник,село Радомишль,"вулиця Надіїі, буд. 835, Богодухів, 37501",+380 57 634 86 30,taranklyment@example.org
Ященко,Лесь,Ілліч,Чоловік,1961-03-28,Євнух,село Генічеськ,"парк Нікітіна, буд. 96, Кременець, 21735",627-34-57,nazar51@example.net
Жайворон,Дмитро,Юрійович,Чоловік,1982-09-06,Археолог,місто Березань ,"парк Флотський 4-й, буд. 4 кв. 33, Новоселиця, 94855",934 72 73,lestsybulenko@example.net
Петлюра,Феофан,Ілліч,Чоловік,1998-12-22,Фізик,хутір Докучаєвськ,"вулиця Центральний аеропорт, буд. 01, Горлівка, 62044",084 432 95 21,dubynarozaliia@example.com
Петлюра,Леопольд,Павлович,Чоловік,1954-08-17,Промисловець,селище Стрий,"проспект Іспанський, буд. 5 кв. 5, Берислав, 01244",081 344 22 32,khomykpavlo@example.com
Байда,Захар,Назарович,Чоловік,1998-04-29,Пілот,селище Верхньодніпровськ,"набережна Кишинівська, буд. 00, Заставна, 33338",+380 (09) 686-56-50,ielyseikarpa@example.com
Охримович,Лариса,Романівна,Жінка,1945-08-29,Промисловець,хутір Заставна,"сквер Київське, буд. 518 кв. 79, Шумськ, 65348",+380 (54) 176-85-61,bairakartem@example.net
Бабʼюк,Ганна,Анатоліївна,Жінка,1945-12-14,Філолог,місто Нововолинськ,"парк Липнева, буд. 116 кв. 70, Кременчук, 74024",472 56 86,ievahavrylyshyn@example.com
Даньків,Лесь,Ілліч,Чоловік,1958-12-02,Електромонтажник,село Коростишів,"шосе Штурманська, буд. 95, Хорол , 54628",642-79-79,pavlenkoomelian@example.net
Данилюк,Зорян,Костянтинович,Чоловік,1971-01-26,Гінеколог,селище Вільногірськ,"набережна Совіньйонівський, буд. 9 кв. 9, Хирів, 87555",344-19-26,zabashtadmytro@example.org
Удовенко,Олег,Святославович,Чоловік,1951-04-01,Адвокат,хутір Олешки,"проспект Перемоги, буд. 6 кв. 674, Остер , 49574",098 816-82-41,jhaidabura@example.net
Аронець,Климент,Максимович,Чоловік,2008-03-30,Реставратор,хутір Рахів,"провулок Софії Перовської, буд. 006 кв. 790, Малин, 87963",534-40-90,cherinkoanton@example.com
Чалий,Єфрем,Святославович,Чоловік,1996-04-17,Геофізик,село Ржищів,"шосе Амундсена, 2-й, буд. 6 кв. 225, Тетіїв, 54857",+380 92 183 70 29,drobakhanadiia@example.org
Шинкаренко,Варвара,Євгенівна,Жінка,1946-07-05,Геофізик,селище Ялта,"проспект 11-ша Лінія 6-й ст. Люстдорфської дороги, буд. 52 кв. 1, Біляївка, 16115",071 102-14-52,tarasenkotereza@example.org
Атаманюк,Єфрем,Олександрович,Чоловік,1953-12-05,Швачка,хутір Бережани,"набережна Заводська 1-ша, буд. 547 кв. 28, Новодружеськ, 14172",+380 (67) 857-65-26,vitaliiakymenko@example.org
Цимбал,Лукʼян,Максимович,Чоловік,1994-07-02,Актор,хутір Помічна,"сквер Пресича Олександра, буд. 86 кв. 46, Черкаси, 33221",+380 47 730 81 95,onysymishchenko@example.org
Охріменко,Олесь,Костянтинович,Чоловік,1942-11-27,Сценарист,хутір Ірпінь,"сквер Уманська, буд. 197 кв. 563, Погребище, 89751",+380 (74) 782-25-65,stanislav70@example.org
Сімашкевич,Давид,Ярославович,Чоловік,1970-10-08,Піаніст,місто Кролевець,"провулок Одеський, буд. 595, Яремче, 50911",734-76-42,qrudko@example.org
Лазаренко,Костянтин,Святославович,Чоловік,1975-10-30,Водій,село Калинівка ,"узвіз Український 1-й, буд. 00, Самбір, 74953",847 50 74,omelian36@example.com
Твердохліб,Оксана,Павлівна,Жінка,1977-06-24,Маркетолог,місто Великі Мости,"проспект Лиманчик 2-й Лінія 3-тя, буд. 03 кв. 18, Вільногірськ, 75219",305 61 13,myron76@example.net
Базилевська,Юстина,Романівна,Жінка,1956-04-01,Випробувач,хутір Винники,"парк Амундсена, 3-й, буд. 582 кв. 50, Коростень, 26999",+380 23 353-32-26,mkadeniuk@example.org
Дахно,Орися,Павлівна,Жінка,2004-11-18,Провізор,селище Полтава,"шосе Сільська, буд. 16, Дубровиця, 42394",+380 (64) 137-56-63,zhadanustym@example.net
Швайка,Зорян,Святославович,Чоловік,1969-08-10,Ветеринар,селище Рубіжне,"парк Незалежності, буд. 94 кв. 346, Соледар, 93778",+380 (17) 634-73-21,jvenhrynovych@example.com
Москаль,Лукʼян,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1978-03-17,Хореограф,село Гадяч,"шосе Лінійний, буд. 2, Ровеньки, 99481",003 429 12 04,stefan60@example.net
Матяш,Станіслав,Назарович,Чоловік,1951-09-06,Палеонтолог,місто Зеленодольськ,"проспект Трудова, буд. 9, Баранівка, 36160",+380 (39) 531-39-42,kabaliukiryna@example.com
Засуха,Владислав,Юрійович,Чоловік,1956-03-24,Головний меркшейдер,село Сімферополь,"вулиця Лінія 41-ша, буд. 76 кв. 9, Сулимівка (Слов'янськ), 45405",+380 (39) 515-46-50,tverkhola@example.org
Цісик,Франц,Павлович,Чоловік,1958-02-23,Паблік рилейшнз,хутір Торецьк,"площа 12-та Суворовська, буд. 46, Турка, 69819",+380 56 520-56-48,snizhanaoberemko@example.net
Журба,Павло,Святославович,Чоловік,1963-06-20,Музичний редактор,селище Долина ,"сквер Мала Садова, буд. 4, Сторожинець, 26080",009 969 43 48,turkaloielysaveta@example.com
Ємець,Варвара,Назарівна,Жінка,1996-09-30,Письменник,село Новояворівськ,"вулиця 11-та ст. Великого Фонтану пляж, буд. 398, Городня, 77773",822 22 69,panchukhlib@example.net
Александренко,Роксолана,Євгенівна,Жінка,1959-12-06,Агроном,село Світлодарськ,"вулиця Сурикова 1-й, буд. 89, Тернопіль, 58237",+380 50 668-05-61,zorian84@example.com
Титаренко,Тетяна,Ярославівна,Жінка,1967-11-07,Режисер,село Чистякове,"площа Обільний 1-й, буд. 017 кв. 4, Шпола, 04901",+380 39 189-35-14,ifesenko@example.net
Базилевич,Дарина,Назарівна,Жінка,1959-12-15,Футболіст,місто Кам'янка-Дніпровська,"сквер Балтський 7-й, буд. 1, Косів, 52136",+380 38 891-20-10,zdavymuka@example.net
Свириденко,Яків,Костянтинович,Чоловік,1990-12-05,Стоматолог,село Костянтинівка,"узвіз Маразліївська, буд. 768, Шумськ, 02728",060 465-04-98,alina10@example.com
Євдокименко,Стефан,Ярославович,Чоловік,1952-11-26,Мікробіолог,село Кропивницький,"сквер Павлова, буд. 3, Гірник , 63012",+380 (47) 376-61-48,iakiviashchenko@example.org
Щорс,Едита,Олександрівна,Жінка,1982-03-22,Ботанік,село Тлумач,"парк Бузкова, буд. 4 кв. 389, Приморськ (Україна), 82818",+380 69 213-74-08,oakulenko@example.com
Савенко,Олесь,Назарович,Чоловік,1963-08-31,Ді-джей,хутір Лутугине,"провулок Стеценко, буд. 863 кв. 565, Зеленодольськ, 26447",+380 67 195-38-37,fumanets@example.org
Засуха,Ганна,Максимівна,Жінка,1986-05-03,Скульптор,місто Жданівка,"площа Анни Ахматової, буд. 5, Славутич, 18528",073 194 18 25,zakharpryimak@example.com
Жадан,Нестор,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1997-02-20,Громадський діяч,селище Новгород-Сіверський,"провулок Керченський 1-й, буд. 866 кв. 0, Молодогвардійськ, 26960",079 951 49 81,zasiadkoiukhym@example.com
Ільєнко,Геннадій,Тарасович,Чоловік,2004-10-22,Музичний редактор,селище Чортків,"проспект Спортивна, буд. 2, Баштанка, 79730",+380 91 098 19 83,alla69@example.net
Левченко,Давид,Юрійович,Чоловік,2001-12-01,Економіст,місто Белз,"площа Ільфа і Петрова, буд. 354 кв. 52, Чортків, 68422",618 93 14,zlatoslavadanchenko@example.org
Юрчишин,Охрім,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1978-04-14,Фармацевт,хутір Борислав,"набережна Кар’єрна, буд. 8, Тальне, 28908",006 065-49-12,xdevdiuk@example.net
Влох,Аліна,Святославівна,Жінка,1974-09-22,Антрополог,місто Чорнобиль,"проспект 19-й км Старокиївської дороги, буд. 108, Зоринськ, 05499",+380 57 365-10-30,allapryimak@example.com
Дубина,Августин,Святославович,Чоловік,1991-03-09,Піаніст,селище Заліщики,"узвіз Сєченова, буд. 26, Лиман , 57648",579-56-96,nadiiashamrai@example.com
Гавриленко,Ярослава,Назарівна,Жінка,1965-11-23,Літературознавець,селище Буча,"сквер Віцеадмірала Азарова, буд. 011 кв. 6, Вовчанськ, 17893",+380 08 198-52-44,ktarasenko@example.net
Деркач,Марія,Ярославівна,Жінка,2001-11-14,Музичний редактор,село Корюківка,"парк Шовкуненка, буд. 89, Борщів, 45812",521 26 00,arkhypenkobohdan@example.com
Артимишин,Вікторія,Анатоліївна,Жінка,1941-01-23,Дерун,селище Конотоп,"провулок Верф’яний, буд. 8 кв. 54, Херсон, 56967",+380 45 841-87-17,ukonoplenko@example.net
Пилипенко,Ада,Павлівна,Жінка,1940-06-13,Золотар,село Ужгород,"сквер Мазараті, буд. 92 кв. 4, Копичинці, 88969",014 597-69-81,marta38@example.net
Гречко,Юхим,Тарасович,Чоловік,1966-06-25,Програміст,місто Каховка,"вулиця Елеваторна, буд. 37 кв. 836, Красилів, 45317",671 92 15,dmytrosimashkevych@example.org
Затула,Спас,Тарасович,Чоловік,1962-10-06,Патологоанатом,село Синельникове,"сквер Східний 1-й, буд. 142 кв. 8, Городня, 36456",+380 58 484-68-27,valeriitryhub@example.net
Євдокименко,Марія,Ярославівна,Жінка,1969-06-01,Гінеколог,село Березне,"вулиця Матюшенка, буд. 42, Сквира, 78556",+380 89 640-74-53,erikahavrylenko@example.com
Бабиченко,Ярослав,Костянтинович,Чоловік,1994-09-05,Конструктор,село Зугрес,"парк Берегова, буд. 251 кв. 706, Павлоград, 36927",406 77 21,iustyna41@example.org
Жученко,Лукʼян,Ярославович,Чоловік,2004-03-01,Клоун,село Буринь,"набережна Ракетна, буд. 7 кв. 36, Миколаївка , 62690",+380 (26) 262-29-47,artembaran@example.net
Швачка,Лесь,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1993-03-11,Краєзнавець,селище Дрогобич,"сквер Тещин міст, буд. 7, Селидове, 72941",427-86-67,mparasiuk@example.com
Дрозд,Клавдія,Тарасівна,Жінка,1990-09-17,Скульптор,селище Монастирище,"проспект Індійська, буд. 5 кв. 874, Суми, 25161",551 36 78,fzhalilo@example.com
Ващенко-Захарченко,Дарина,Анатоліївна,Жінка,1997-08-06,Флорист,місто Дебальцеве,"проспект Відважних, буд. 8, Вознесенівка, 63675",292 50 45,kharchenkoorysia@example.org
Артюх,Дарина,Степанівна,Жінка,1987-08-11,М'ясник,хутір Вашківці,"парк Аграрна, буд. 300, Ананьїв, 20836",776 01 10,oieroshenko@example.net
Андрусенко,Костянтин,Максимович,Чоловік,1987-03-18,Гірничий інженер,місто Умань,"шосе Іванова, буд. 011, Теплодар, 55862",033 127-77-01,artemhaidamaka@example.com
Баранець,Тереза,Іллівна,Жінка,1993-03-03,Антрополог,місто Берестечко,"площа Академіка Векслера, буд. 1, Сновськ, 20844",+380 86 439-63-62,sachenkomariia@example.net
Ткач,Макар,Тарасович,Чоловік,1979-08-02,Нотаріус,хутір Яремче,"площа Віри Фігнер, буд. 675 кв. 20, Кропивницький, 32035",+380 58 092-60-33,zhukamaliia@example.org
Якименко,Аніта,Романівна,Жінка,1982-02-02,Різноробочий,місто Костянтинівка,"шосе Яблочкіної, буд. 3 кв. 8, Козятин, 12294",+380 69 028 65 15,oksana15@example.com
Давиденко,Камілла,Назарівна,Жінка,1938-05-22,Льотчик,село Кремінна,"сквер Монгольська, буд. 4 кв. 900, Хрустальний, 60131",054 087-66-76,mykhailo22@example.com
Павленко,Анастасія,Данилівна,Жінка,1996-05-06,Філолог,місто Щолкіне,"узвіз Райдужна, буд. 23 кв. 2, Верхівцеве, 79833",+380 (47) 591-81-42,barannykvasylyna@example.net
Андрієнко,Орест,Тарасович,Чоловік,1957-11-25,Мовознавець,село Севастополь,"провулок Кісельова Ігоря, буд. 52 кв. 3, Кагарлик, 43419",+380 66 817-93-42,kamilladatsenko@example.net
Засенко,Василина,Юріївна,Жінка,1979-01-24,Геолог,селище Бершадь,"площа Кримська, буд. 69 кв. 97, Моспине, 02510",+380 55 310 44 08,bdevdiuk@example.com
Охріменко,Веніямин,Степанович,Чоловік,1954-07-10,Пекар,хутір Чоп,"парк Гаріна, буд. 101, Феодосія, 38805",039 445 25 71,rkopytko@example.net
Кириленко,Ігор,Романович,Чоловік,1989-11-05,Фізик,місто Коростишів,"проспект 15-та Суворовська, буд. 166, Білогірськ, 18556",049 427-85-43,klavdiiarak@example.net
Ващук,Болеслав,Максимович,Чоловік,1955-01-03,Реабілітолог,селище Великі Мости,"узвіз Одеса-Головна, буд. 2, Вільногірськ, 67692",+380 07 746-50-79,cshchors@example.com
Рябошапка,Ірина,Ярославівна,Жінка,1952-11-03,Єгер,хутір Молодогвардійськ,"набережна Наявний 6-й, буд. 637, Міусинськ, 56248",+380 (45) 034-92-44,mpoltavets@example.net
Якименко,Дан,Максимович,Чоловік,2003-02-12,Слідчий,селище Конотоп,"вулиця 5-та Суворовська, буд. 939 кв. 6, Південне , 29260",020 076-97-37,ieroshenkobohuslava@example.net
Гуцуляк,Ганна,Юріївна,Жінка,1974-04-27,Локсмайстер,хутір Стрий,"провулок Дунаєвського 2-й, буд. 846 кв. 1, Буринь, 27770",+380 46 641 30 85,jhavrylyshyn@example.org
Іщенко,Лариса,Святославівна,Жінка,1998-05-29,Режисер,місто Бердичів,"проспект Молодіжна, буд. 844, Вугледар, 90164",+380 89 668 15 24,pkarmaliuk@example.net
Цюпа,Софія,Анатоліївна,Жінка,1995-04-11,Електрослюсар,селище Чистякове,"парк Таїрова, буд. 922 кв. 5, Сорокине, 70388",+380 63 886 02 39,klavdiiatkach@example.net
Кириленко,Людмила,Ярославівна,Жінка,1953-08-31,Водій,місто Мелітополь,"парк Посівна, буд. 81 кв. 91, Турка, 12147",049 346 45 39,viktor37@example.com
Бараник,Алла,Святославівна,Жінка,1940-03-04,Гицель,хутір Суми,"шосе Лиманчик 2-й Лінія 9-та, буд. 57, Зеленодольськ, 66969",+380 20 299-35-03,ielysavetaturkalo@example.net
Уманець,Станіслав,Романович,Чоловік,1968-10-17,Фармацевт,село Генічеськ,"набережна Лінія 54-та, буд. 80 кв. 026, Болград, 46306",+380 20 808 15 27,tarasdrozd@example.com
Байдак,Едита,Ярославівна,Жінка,1958-08-13,Кур'єр,селище Молодогвардійськ,"провулок Східчастий, буд. 27 кв. 67, Перевальськ, 96980",+380 07 765-62-11,spas11@example.com
Верховинець,Дмитро,Ярославович,Чоловік,1945-02-23,Детектив,хутір Дрогобич,"парк Шолохова, буд. 789 кв. 90, Сколе, 50691",054 219 79 92,albert87@example.net
Забарна,Наталія,Юріївна,Жінка,1979-10-29,Реабілітолог,хутір Нетішин,"парк Валіховський, буд. 861, Балаклія, 69453",012 258 47 61,dmytro58@example.com
Скирда,Спас,Юрійович,Чоловік,1961-09-05,Машиніст,село Чуднів,"провулок Світла, буд. 32 кв. 483, Долина , 69361",+380 (39) 448-72-65,tsarenkozakhar@example.org
Девдюк,Миколай,Романович,Чоловік,2001-01-29,Фрілансер,хутір Герца,"провулок Урожайна, буд. 42 кв. 3, Яворів, 13129",+380 02 343-35-42,fdotsenko@example.org
Скоробогатько,Орина,Романівна,Жінка,1959-09-20,Палеонтолог,місто Українка ,"сквер Митна, буд. 1, Моршин, 93421",043 925 03 59,usvyrydenko@example.com
Гречаник,Ліза,Іллівна,Жінка,2002-04-17,Педагог,хутір Інкерман,"набережна Сінна, буд. 4 кв. 5, Шумськ, 26866",+380 89 721-25-54,datsenkoliudmyla@example.com
Мазур,Галина,Юріївна,Жінка,1948-12-10,Медик,хутір Підгайці,"узвіз Восьмого березня узвіз, буд. 95, Одеса, 39156",+380 (39) 051-23-31,xsyrotenko@example.org
Алексюк,Азар,Назарович,Чоловік,1988-07-09,Льотчик,село Новий Розділ,"провулок Обільна, буд. 42 кв. 050, Новгород-Сіверський, 08061",026-56-41,gsheremet@example.org
Оробець,Іван,Романович,Чоловік,2003-04-29,Електромонтер,хутір Олевськ,"парк Гена Іоганна, буд. 0 кв. 35, Енергодар, 37117",+380 24 528-83-83,okseniia29@example.net
Величко,Амвросій,Максимович,Чоловік,1970-12-29,Драматург,місто Лисичанськ,"парк Літній, буд. 59, Калуш, 38135",+380 46 346-84-60,ivanenkomyroslav@example.org
Фастенко,Прохір,Павлович,Чоловік,1941-03-11,Історик,селище Кагарлик,"набережна Херсонський сквер, буд. 74, Перещепине, 87203",027 036 10 31,ishvachko@example.com
Пилипенко,Оксана,Павлівна,Жінка,1976-06-11,Географ,місто Сновськ,"шосе Нафтовиків 1-й, буд. 6, Токмак, 54272",+380 86 536-13-33,tetianalupii@example.net
Єщенко,Олена,Святославівна,Жінка,1997-08-04,Фермер,хутір Перечин,"провулок Авіаційна, буд. 792 кв. 86, Батурин, 76111",+380 17 616-22-39,ziakymenko@example.com
Батіг,Данило,Святославович,Чоловік,1949-01-03,Музичний редактор,місто Старий Крим,"парк Травневий 2-й, буд. 05 кв. 42, Ужгород, 65529",+380 53 608-07-91,artiushenkoleontii@example.com
Артюх,Ярина,Тарасівна,Жінка,1974-07-21,Соціолог,селище Білогірськ,"набережна Дунаєвського 2-й, буд. 6, Бурштин , 22183",+380 16 399-49-73,riabchenkosolomon@example.com
Рудько,Олена,Павлівна,Жінка,1986-05-18,Математик,місто Нова Каховка,"сквер Ільфа і Петрова, буд. 9, Ямпіль, 18821",095 078-09-25,hlib74@example.com
Міщенко,Юхим,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1949-05-12,Пекар,село Ровеньки,"площа Різовська, буд. 492 кв. 632, Красилів, 81958",+380 (60) 325-60-77,echornovil@example.com
Єрьоменко,Вікторія,Максимівна,Жінка,2006-04-17,Адвокат,селище Гребінка,"провулок 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 3 кв. 7, Нова Одеса, 42859",308 99 95,xsalii@example.com
Єсипенко,Лукʼян,Павлович,Чоловік,1998-09-08,Письменник,селище Червоносів,"проспект Маразліївська, буд. 0 кв. 584, Ірміно, 99654",+380 (76) 712-81-08,ostaptsarenko@example.net
Жарко,Алла,Романівна,Жінка,1965-02-26,Науковець,село Старий Самбір,"площа Радіальна, буд. 084, Сміла, 59999",524-56-05,edyta26@example.net
Вахній,Спас,Максимович,Чоловік,2007-10-17,Перекладач,хутір Новоазовськ,"провулок Онілової, буд. 03 кв. 17, Дергачі, 14997",077 925-88-60,lemeshkoruslan@example.org
Гузь,Леонтій,Павлович,Чоловік,1972-10-16,Ді-джей,селище Таврійськ,"сквер Макаренка, буд. 3, Лебедин, 99311",074 434-87-88,arkadii98@example.org
Величко,Яків,Степанович,Чоловік,1967-02-04,Ріелтор,село Рогатин,"провулок Болградська, буд. 61, Рахів, 22931",030 228 33 21,larysakalchenko@example.com
Яремчук,Демʼян,Олександрович,Чоловік,1947-10-26,Мірошник,хутір Кобеляки,"проспект Удільний, буд. 46, Стебник, 88730",+380 (67) 248-03-55,ievtushenkohlib@example.com
Баран,Остап,Назарович,Чоловік,1993-10-20,Акушер,хутір Лохвиця,"вулиця Степний 2-й, буд. 6 кв. 278, Турка, 30941",045 163-08-82,ielysaveta05@example.net
Гресь,Тимофій,Романович,Чоловік,1980-11-11,Електромонтажник,село Шепетівка,"площа Івана Франка, буд. 031, Нова Одеса, 39981",+380 56 262-84-23,valentynchekaliuk@example.org
Акименко,Соломон,Назарович,Чоловік,1990-10-16,Штукатур,хутір Золочів,"узвіз Рибальський, буд. 771 кв. 2, Новоселиця, 13680",067 130 17 87,vakulenkoborys@example.net
Черненко,Анастасія,Святославівна,Жінка,2002-01-10,Паралегал,хутір Гадяч,"сквер Мелітопольська, буд. 7 кв. 484, Золочів, 32904",052 699-37-18,qtelychenko@example.org
Бабʼюк,Анжела,Степанівна,Жінка,1995-07-23,Піаніст,місто Кагарлик,"вулиця Стельмаха, буд. 913, Галич, 58602",189-26-51,boryslav90@example.com
Аверченко,Мирон,Назарович,Чоловік,1979-05-23,Музикант,селище Валки ,"площа Марата 2-й, буд. 1, Коломия, 24335",764-59-37,lesbezditko@example.org
Василечко,Тереза,Степанівна,Жінка,1940-11-05,Гірник,хутір Біляївка,"шосе Спортивний, буд. 22, Глухів, 59696",+380 16 870-95-14,mykyta42@example.net
Медведенко,Юстина,Олександрівна,Жінка,1983-09-05,Ґрунтознавець,селище Ладижин,"набережна Ползунова 2-й, буд. 8 кв. 0, Христинівка, 93485",070 297 62 18,uchaban@example.net
Закусило,Стефан,Костянтинович,Чоловік,1955-07-14,Дантист,місто Сміла,"сквер Небесної Сотні, буд. 722 кв. 96, Одеса, 51464",000 064-65-58,pshovkoplias@example.org
Данчук,Єва,Тарасівна,Жінка,1991-09-03,Державний службовець,село Зборів,"проспект Басейна, буд. 2 кв. 0, Молодогвардійськ, 73576",521-03-30,arkadii96@example.net
Байрак,Пріска,Павлівна,Жінка,1977-06-30,Круп'є,хутір Рудки,"провулок Цегельнозаводська, буд. 09, Герца, 05010",+380 72 170-62-31,emiliia21@example.net
Прокопович,Світлана,Святославівна,Жінка,1967-03-23,Пілот,місто Надвірна,"провулок Морехідний, буд. 52 кв. 929, Тальне, 68075",+380 96 619-03-86,romanenkovitalii@example.com
Товстоліс,Леонід,Павлович,Чоловік,1994-01-18,Швачка,село Херсон,"узвіз Миколаївський 1-й, буд. 7, Дніпро , 73170",+380 (61) 183-08-67,panas33@example.com
Юрчишин,Борислав,"Данилович, Олександрович, Ярославович, Борисович, Тарасович, Євгенович",Чоловік,1960-11-29,Випробувач,місто Генічеськ,"вулиця Мельницька, буд. 58, Молочанськ, 09065",049 857 47 72,nbakumenko@example.com
Рубан,Світлана,Романівна,Жінка,1955-07-22,Візажист,селище Узин,"узвіз Парусна, буд. 3, Заліщики, 60117",520 72 93,atokar@example.com
Наливайко,Максим,Олександрович,Чоловік,1956-09-22,Сантехнік,хутір Кропивницький,"проспект Щукіна, буд. 8, Керч, 47710",098 394-74-49,kivanenko@example.com
Даниленко,Борислав,Максимович,Чоловік,2006-09-17,Диригент,селище Жмеринка,"набережна Східчастий 3-й, буд. 71 кв. 806, Вилкове, 80887",208-72-81,kozakorkhyp@example.org
Гавриш,Климент,Павлович,Чоловік,1971-10-05,Головний меркшейдер,місто Кагарлик,"проспект Глазунова 2-й, буд. 9, Гребінка, 48613",989-67-06,okarpa@example.com
Тарасенко,Давид,Олександрович,Чоловік,1962-10-12,Мистецтвознавець,хутір Корець,"узвіз 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 25 кв. 6, Ворожба, 35219",168 96 58,parmen60@example.net
Рудик,Онисим,Тарасович,Чоловік,1991-08-31,Акушер,селище Старий Крим,"провулок Романтичний, буд. 848 кв. 502, Олександрія, 37293",058 458-42-11,heorhiisirchenko@example.com
Забіла,Анастасія,Іллівна,Жінка,1996-07-09,Адвокат,село Яремче,"площа Польовий 1-й, буд. 871, Мирноград, 26822",021 816 71 49,irynakashchenko@example.org
Лагода,Вадим,Тарасович,Чоловік,1998-11-01,Музикознавець,село Турка,"парк Михайлівська, буд. 8, Щолкіне, 25358",245 30 90,shakhraistefan@example.net
Макаренко,Любов,Павлівна,Жінка,2003-06-03,Мікробіолог,село Роздільна,"провулок Мариністів, буд. 44 кв. 943, Таврійськ, 77231",+380 (00) 187-97-72,marynaishchak@example.org
Андрощук,Спас,Ілліч,Чоловік,1987-05-06,Географ,місто Лохвиця,"парк Володимира Вінниченка, буд. 6, Привілля, 73124",+380 56 259-76-65,hordiishutko@example.net
Макогон,Орися,Назарівна,Жінка,1958-07-15,Флорист,хутір Миронівка,"узвіз Олександра Матросова, буд. 452, Погребище, 12466",135 28 01,bduplii@example.com
Черненко,Охрім,Романович,Чоловік,1992-02-25,Парфюмер,хутір Любомль,"набережна Благовидової, буд. 27 кв. 4, Алупка, 15145",526 63 18,pavlenkooles@example.org
Вівчаренко,Адам,Назарович,Чоловік,1990-08-02,Географ,місто Здолбунів,"шосе Дунаєвського 1-й, буд. 562, Полонне, 48797",000 788-34-65,prokhir38@example.org
Голобородько,Іван,Святославович,Чоловік,1948-08-04,Скульптор,місто Ясинувата,"провулок Матеріальний 1-й, буд. 92, Червоноград, 06137",381 62 25,zynoviikalchenko@example.net
Штепа,Омелян,Костянтинович,Чоловік,1995-07-19,Намотувальник,місто Гірське,"узвіз Міхновського Миколи, буд. 736 кв. 11, Антрацит , 28519",027 127 79 83,yprykhodko@example.com
Дзиндра,Азар,Максимович,Чоловік,1974-03-13,Актор,хутір Сновськ,"провулок Ніжинська, буд. 74 кв. 5, Василівка , 94091",017 70 57,albertsamoilenko@example.net
Андрощук,Симон,Романович,Чоловік,1965-03-15,Секретар,місто Суми,"набережна Водопровідний 3-й, буд. 0, Чернігів, 14252",045 604-51-29,liashkoserhii@example.org
Аверченко,Аліна,Назарівна,Жінка,1978-01-22,Швачка,хутір Новий Буг,"набережна 4-та Лінія Марії Демченко, буд. 491, Сулимівка (Слов'янськ), 93924",021 284 45 44,chaikasviatoslav@example.net
Андрощук,Святослав,Максимович,Чоловік,1955-08-31,Науковець,село Бершадь,"шосе Академіка Сахарова, буд. 017, Борислав, 08026",+380 67 900-56-42,danna36@example.org
Дубина,Федір,Юрійович,Чоловік,1987-04-28,Каскадер,місто Мелітополь,"площа Уральська, буд. 8 кв. 2, Старокостянтинів, 49337",107 45 19,leopold19@example.com
Девдюк,Марія,Тарасівна,Жінка,2004-06-13,Живописець,місто Брянка,"проспект Уральська, буд. 458 кв. 748, Красилів, 65962",058 684 24 91,leonid30@example.org
Шведченко,Симон,Максимович,Чоловік,1973-04-16,Фольклорист,село Монастириська,"шосе Стражеска Миколи, буд. 38, Старокостянтинів, 22639",+380 74 249 32 32,volodymyrbaklan@example.org
Мазепа,Амвросій,Ярославович,Чоловік,1955-09-05,Астроном,селище Гребінка,"шосе Якутська, буд. 4 кв. 2, Хуст, 90254",090 901 03 93,viktorteslenko@example.org
Кибкало,Гліб,Романович,Чоловік,2002-07-12,Головний меркшейдер,хутір Новомосковськ,"парк Восьмого березня 6-й, буд. 018, Кривий Ріг, 60575",+380 (40) 365-45-20,xievtushok@example.org
Шведченко,Богуслав,Святославович,Чоловік,1943-03-25,Гицель,місто Почаїв,"шосе Просьолочна, буд. 06 кв. 6, Берестечко, 40072",086 398-22-07,zakhar96@example.net
Ковалюк,Данна,Тарасівна,Жінка,1976-11-03,Візажист,хутір Трускавець,"вулиця Керченський 1-й, буд. 808, Чернігів, 63680",016 515-74-22,wtereshchenko@example.net
Рябченко,Лариса,Костянтинівна,Жінка,1947-02-01,Ботанік,місто Чигирин,"вулиця Молоді, буд. 222 кв. 5, Деражня, 78870",319 29 37,mariia53@example.com
